iter	Passed	Remaining
0	1	103
1	1	80
2	2	72
3	2	66
4	3	63
5	3	61
6	4	59
7	5	58
8	5	57
9	6	55
10	6	54
11	7	54
12	7	53
13	8	52
14	9	51
15	9	50
16	10	50
17	10	49
18	11	48
19	11	47
20	12	47
21	13	47
22	14	47
23	14	46
24	15	45
25	15	45
26	16	44
27	17	43
28	17	43
29	18	42
30	18	42
31	19	41
32	20	40
33	20	40
34	21	39
35	21	38
36	22	38
37	23	37
38	23	37
39	24	36
40	25	35
41	25	34
42	25	34
43	26	33
44	27	33
45	28	33
46	28	32
47	29	31
48	30	31
49	30	30
50	31	30
51	31	29
52	32	28
53	33	28
54	33	27
55	34	26
56	34	26
57	35	25
58	36	25
59	36	24
60	37	23
61	38	23
62	38	22
63	39	22
64	40	21
65	40	20
66	41	20
67	41	19
68	42	19
69	43	18
70	43	17
71	44	17
72	45	16
73	45	16
74	46	15
75	47	14
76	47	14
77	48	13
78	49	13
79	49	12
80	50	11
81	51	11
82	51	10
83	52	9
84	52	9
85	53	8
86	54	8
87	54	7
88	55	6
89	56	6
90	56	5
91	57	4
92	58	4
93	58	3
94	59	3
95	60	2
96	60	1
97	61	1
98	61	0
99	62	0
